accuracy,acc_std,recall_p,r_p_std,precision_p,p_p_std,f1_p,f1_p_std,recall_n,r_n_std,precision_n,p_n_std,f1_n,f1_n_std,tp,tn,fp,fn,c1,c2,gamma
76.31,4.15,55.55,5.47,70.83,5.32,61.95,3.21,87.72,3.08,78.30,5.76,82.66,3.93,147,439,61,121,0.25,0.125,0.03125
76.18,3.74,54.30,4.27,71.00,4.73,61.28,2.16,88.13,2.62,77.95,5.38,82.65,3.62,144,441,59,124,0.25,0.125,0.0625
76.57,4.55,54.46,5.24,72.28,4.29,61.86,2.93,88.66,3.34,78.03,5.82,82.93,4.26,144,444,56,124,0.25,0.125,0.125
77.61,4.01,47.92,4.14,80.29,5.30,59.83,3.38,93.78,1.65,76.82,5.30,84.37,3.44,127,469,31,141,0.25,0.125,0.25
77.22,3.49,48.10,4.39,78.43,5.71,59.40,3.52,92.98,1.95,76.78,4.89,84.03,3.12,128,465,35,140,0.25,0.125,0.5
76.57,3.40,47.08,4.99,76.95,5.25,58.14,3.76,92.62,1.24,76.36,5.08,83.61,2.97,125,463,37,143,0.25,0.125,1
71.89,5.04,41.32,5.09,66.04,5.03,50.58,3.73,88.47,3.25,73.48,6.04,80.20,4.43,109,443,57,159,0.25,0.125,2
71.23,3.83,50.72,7.29,60.14,5.62,54.71,5.71,82.39,1.41,75.65,5.77,78.76,3.30,135,412,88,133,0.25,0.125,4
77.35,3.40,59.38,8.14,71.69,4.40,64.37,2.95,87.65,1.71,79.70,6.25,83.33,3.08,156,438,62,112,0.25,0.25,0.03125
77.35,3.61,56.60,5.09,72.68,2.62,63.44,2.70,88.74,1.14,78.92,5.39,83.47,3.34,150,444,56,118,0.25,0.25,0.0625
77.35,3.82,54.01,5.79,74.42,3.35,62.33,3.40,90.14,1.79,78.21,5.44,83.67,3.46,143,451,49,125,0.25,0.25,0.125
78.65,4.11,55.62,5.62,77.57,4.20,64.54,3.41,91.33,2.31,78.96,5.44,84.61,3.58,147,457,43,121,0.25,0.25,0.25
77.09,3.57,54.19,6.49,73.70,4.41,62.09,3.30,89.81,1.50,78.19,5.60,83.49,3.14,143,449,51,125,0.25,0.25,0.5
76.83,3.26,52.17,4.89,74.30,5.06,60.93,1.63,90.41,1.93,77.62,5.34,83.42,3.07,138,452,48,130,0.25,0.25,1
71.62,3.21,47.19,7.21,62.10,5.50,53.19,5.59,84.76,2.73,74.90,5.21,79.41,3.16,126,424,76,142,0.25,0.25,2
68.89,4.66,54.31,4.87,55.57,3.32,54.77,2.88,76.78,3.73,75.44,6.36,76.05,4.82,144,385,115,124,0.25,0.25,4
76.18,4.03,62.82,7.33,67.34,2.48,64.66,2.75,83.63,3.57,80.28,5.96,81.84,4.13,166,419,81,102,0.25,0.5,0.03125
76.31,3.97,62.36,6.26,67.79,3.17,64.65,2.13,84.04,3.73,80.18,5.78,81.99,4.14,165,421,79,103,0.25,0.5,0.0625
76.57,4.03,63.10,6.29,67.89,3.07,65.18,3.06,84.06,2.89,80.50,5.75,82.18,3.97,167,421,79,101,0.25,0.5,0.125
76.31,4.32,62.21,7.69,68.02,3.30,64.58,2.91,84.25,3.88,80.11,6.30,82.03,4.35,164,422,78,104,0.25,0.5,0.25
76.83,4.28,60.33,7.19,69.97,3.57,64.42,2.94,86.08,3.28,79.71,6.18,82.68,4.13,159,431,69,109,0.25,0.5,0.5
75.66,3.23,55.50,2.07,68.81,6.30,61.26,2.46,86.56,2.92,78.17,4.72,82.08,3.31,148,433,67,120,0.25,0.5,1
71.89,4.46,51.59,6.27,61.88,3.09,55.99,3.14,83.08,2.65,75.82,6.27,79.20,4.21,136,416,84,132,0.25,0.5,2
68.10,2.69,61.03,7.20,53.42,5.05,56.71,4.75,71.93,1.60,77.45,5.75,74.49,2.96,163,360,140,105,0.25,0.5,4
75.79,4.32,73.37,7.41,63.55,3.11,67.81,2.46,77.36,4.94,83.73,6.29,80.34,4.94,194,388,112,74,0.25,1,0.03125
75.79,4.32,73.02,7.83,63.65,3.17,67.69,2.62,77.57,5.05,83.62,6.37,80.39,4.94,193,389,111,75,0.25,1,0.0625
75.92,5.11,73.15,8.71,63.77,2.66,67.89,4.10,77.73,4.59,83.64,7.04,80.51,5.34,193,390,110,75,0.25,1,0.125
